"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2010,541.297
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2021,624.047
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2022,631.978
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2030,667.905
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,724.958
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2030,627.662
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","World",2050,622.893
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2010,112.433
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2021,111.555
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2022,114.46
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2030,108.324
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2050,101.224
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","North America",2030,103.419
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","North America",2050,87.469
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2010,94.038
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2021,91.664
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2022,93.803
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2030,87.306
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2050,79.171
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","United States",2030,83.385
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","United States",2050,70.391
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2010,26.598
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2021,28.467
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2022,29.053
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2030,32.645
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2050,40.711
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2030,32.248
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2050,38.417
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2010,12.152
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2021,13.836
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2022,13.953
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2030,15.976
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2050,19.225
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Brazil",2030,16.118
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Brazil",2050,19.076
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2010,89.226
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2021,82.099
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2022,78.164
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2030,74.522
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2050,66.59
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Europe",2030,71.232
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Europe",2050,57.639
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2010,64.475
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2021,58.896
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2022,56.179
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2030,51.7
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2050,43.145
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","European Union",2030,49.535
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","European Union",2050,37.975
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2010,28.637
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2021,35.861
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2022,36.422
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2030,41.078
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2050,57.566
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Africa",2030,34.553
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Africa",2050,48.649
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2010,27.137
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2021,34.802
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2022,36.379
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2030,42.014
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2050,54.621
